timestamp,timestamp_sample,lat,lon,alt,alt_ellipsoid,delta_alt,eph,epv,terrain_alt,lat_lon_reset_counter,alt_reset_counter,terrain_alt_valid,dead_reckoning
121682832,121682614,39.5402943003203,-119.81227580315806,1412.4856,1387.9342,-0.008085489,0.7759502,1.113938,nan,2,2,0,0
122679443,122679201,39.54028959711766,-119.81227386696595,1412.9424,1388.3516,-0.008085489,0.7739872,1.1139638,nan,2,2,0,0
123685004,123684767,39.540288070996226,-119.81227209130236,1413.3912,1388.7915,-0.008085489,0.7734556,1.113411,nan,2,2,0,0
124681949,124681400,39.54028501467975,-119.81226898990982,1414.0807,1389.4761,-0.008085489,0.7728925,1.1134169,nan,2,2,0,0
125678162,125677941,39.540283168469806,-119.81226579851564,1414.5621,1389.9061,-0.008085489,0.77241987,1.112851,nan,2,2,0,0
126683871,126683508,39.540279430561135,-119.8122614133493,1415.0947,1390.3641,-0.008085489,0.77219343,1.1130362,nan,2,2,0,0
127680461,127680097,39.54027679195795,-119.81225710460824,1413.7126,1389.0043,-1.8151865,0.7717094,1.1206278,nan,2,3,0,0
128677154,128676732,39.540276129393874,-119.81225672147576,1413.7386,1389.0856,-1.8151865,0.7713711,1.0848652,nan,2,3,0,0
129684179,129682254,39.54027505572302,-119.81225594229845,1413.7645,1389.1775,-1.8151865,0.77156913,1.0770216,nan,2,3,0,0
130679171,130678844,39.540271655745066,-119.8122563513279,1413.884,1389.3518,-1.8151865,0.771723,1.0747294,nan,2,3,0,0
131675986,131675434,39.54026964591597,-119.81225919006637,1413.773,1389.2847,-1.8151865,0.7716959,1.0739782,nan,2,3,0,0
132681592,132681003,39.5402697665806,-119.81225969784872,1413.8397,1389.3997,-1.8151865,0.7716616,1.0739262,nan,2,3,0,0
133678135,133677594,39.540270244897314,-119.81225476445688,1413.9397,1389.5347,-1.8151865,0.7714027,1.073862,nan,2,3,0,0
134674766,134674186,39.54026827071607,-119.81225211487805,1413.9045,1389.5178,-1.8151865,0.77109,1.0738834,nan,2,3,0,0
135680245,135679802,39.54026667799348,-119.81225113197928,1413.68,1389.3074,-1.8151865,0.7709479,1.0739375,nan,2,3,0,0
136676910,136676348,39.54026469033947,-119.8122541353149,1413.658,1389.3179,-1.8151865,0.77060986,1.0739052,nan,2,3,0,0
137682333,137681919,39.54025972402458,-119.8122578940561,1413.6782,1389.3901,-1.8151865,0.7704973,1.0738233,nan,2,3,0,0
138678801,138678515,39.540258906961895,-119.81225777861685,1413.2042,1388.9436,-1.8151865,0.7703688,1.0737509,nan,2,3,0,0
139684566,139684087,39.54025676618534,-119.81225597455675,1412.9803,1388.782,-1.8151865,0.7704947,1.0737538,nan,2,3,0,0
140681041,140680677,39.540254413565414,-119.81225275041238,1413.0005,1388.8799,-1.8151865,0.77085966,1.0740002,nan,2,3,0,0
141686616,141686249,39.54025188810585,-119.81224988996163,1413.0272,1388.9863,-1.8151865,0.7708736,1.0740371,nan,2,3,0,0
142683171,142682889,39.54025151934926,-119.81224419389798,1413.0732,1389.1062,-1.8151865,0.7704531,1.0739094,nan,2,3,0,0
